DATE,region_code,total_consum(Wh),max_tem,min_tem,wind_speed,morning_tem,noon_tem,evening_tem,total_precip,humidity,visibility,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,heat_index,DEWPOINT_MAX_C,wind_tem,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,snow,UV_INDEX,SUNHOUR,night_tem
2022-12-27,24,28319116027.0,7.333333333333333,2.5,11.333333333333334,3.3333333333333335,6.333333333333333,4.833333333333333,0.0,86.83333333333333,10.0,1031.5,34.729166666666664,7.333333333333333,3.0,1.1666666666666667,113.5,116.5,114.5,0.0,2.0,7.8,4.333333333333333
2022-12-28,24,28237430761.0,11.166666666666666,5.0,24.666666666666668,5.333333333333333,10.0,10.5,0.05000000000000001,95.33333333333333,9.333333333333334,1026.1666666666667,76.02083333333333,11.166666666666666,8.0,2.3333333333333335,123.5,116.0,121.0,0.0,2.0,5.983333333333333,5.833333333333333
2022-12-29,24,27154502190.0,11.0,8.833333333333334,30.166666666666668,10.5,10.166666666666666,9.833333333333334,1.4166666666666667,88.83333333333333,7.8125,1013.8333333333334,95.72916666666667,11.0,8.833333333333334,6.666666666666667,241.0,226.5,294.5,0.0,2.8333333333333335,3.266666666666667,10.833333333333334
2022-12-30,24,27536933987.0,14.333333333333334,5.833333333333333,38.0,6.5,10.166666666666666,14.333333333333334,1.1500000000000001,93.33333333333333,8.291666666666666,1017.0,75.39583333333333,14.333333333333334,11.833333333333334,3.1666666666666665,119.0,276.0,323.5,0.0,3.3333333333333335,3.5666666666666664,6.0
2022-12-31,24,24954917378.0,17.166666666666668,12.666666666666666,29.5,14.0,15.166666666666666,16.5,0.16666666666666666,83.33333333333333,9.833333333333334,1018.1666666666666,47.791666666666664,17.166666666666668,12.0,11.333333333333334,157.0,114.5,113.0,0.0,3.8333333333333335,8.1,14.666666666666666
2023-01-01,24,23273362561.0,14.5,11.5,23.833333333333332,12.0,13.666666666666666,12.666666666666666,0.016666666666666666,78.83333333333333,10.0,1020.3333333333334,45.395833333333336,14.5,9.166666666666666,9.166666666666666,113.0,119.0,118.5,0.0,4.0,6.0,12.666666666666666
2023-01-02,24,24127729357.0,11.5,6.5,25.166666666666668,10.666666666666666,9.333333333333334,7.5,4.5,92.5,7.520833333333333,1029.6666666666667,91.54166666666667,11.5,10.0,5.666666666666667,264.0,255.5,220.0,0.0,2.3333333333333335,3.283333333333333,10.5
2023-01-03,24,26243472115.0,11.0,5.0,16.166666666666668,5.5,9.333333333333334,8.166666666666666,0.0,97.16666666666667,6.541666666666667,1031.1666666666667,40.125,11.0,6.666666666666667,2.5,174.0,114.0,114.0,0.0,2.3333333333333335,7.8,5.833333333333333
2023-01-04,24,26146611390.0,11.333333333333334,5.666666666666667,26.166666666666668,6.5,9.5,10.833333333333334,0.016666666666666666,88.0,10.0,1030.3333333333333,73.625,11.333333333333334,8.833333333333334,3.1666666666666665,118.5,121.0,131.0,0.0,3.1666666666666665,3.5999999999999996,5.666666666666667
2023-01-05,24,24496705958.0,13.333333333333334,11.0,19.0,11.5,12.333333333333334,12.166666666666666,0.9833333333333334,97.5,7.8125,1027.6666666666667,92.33333333333333,13.333333333333334,11.333333333333334,9.333333333333334,251.0,121.5,119.5,0.0,3.0,3.5999999999999996,11.166666666666666
2023-01-06,24,24780948714.0,12.5,9.0,16.666666666666668,10.333333333333334,12.0,10.833333333333334,0.05000000000000001,84.66666666666667,9.833333333333334,1026.1666666666667,69.4375,12.5,9.333333333333334,8.333333333333334,119.0,138.5,126.0,0.0,3.0,4.5,10.333333333333334
2023-01-07,24,25811003119.0,11.166666666666666,6.166666666666667,29.5,6.166666666666667,10.666666666666666,10.5,0.26666666666666666,89.0,9.833333333333334,1020.1666666666666,57.25,11.166666666666666,7.333333333333333,3.1666666666666665,114.0,119.5,226.0,0.0,3.0,4.8,7.0
2023-01-08,24,26215173180.0,10.166666666666666,7.5,24.333333333333332,8.666666666666666,10.166666666666666,9.166666666666666,3.533333333333333,92.83333333333333,8.520833333333334,1010.0,92.22916666666667,10.166666666666666,7.833333333333333,5.166666666666667,295.5,246.5,245.0,0.0,2.0,3.9,8.666666666666666
2023-01-09,24,27891664484.0,8.666666666666666,4.833333333333333,26.833333333333332,5.333333333333333,7.5,7.166666666666667,0.9666666666666667,87.83333333333333,9.583333333333334,1018.6666666666666,62.916666666666664,8.666666666666666,5.0,1.1666666666666667,115.0,249.5,176.0,0.0,2.0,4.2,5.833333333333333
2023-01-10,24,28426590762.0,12.0,4.5,27.333333333333332,5.5,8.833333333333334,11.833333333333334,3.15,95.33333333333333,9.291666666666666,1023.0,91.125,12.0,10.333333333333334,2.0,173.0,291.0,130.5,0.0,3.1666666666666665,3.2999999999999994,4.833333333333333
2023-01-11,24,26845403491.0,11.5,9.0,26.666666666666668,10.5,10.333333333333334,9.5,1.1500000000000001,92.66666666666667,8.625,1021.0,83.29166666666667,11.5,9.333333333333334,7.166666666666667,246.5,254.0,139.5,0.0,3.0,5.3999999999999995,10.833333333333334
2023-01-12,24,26920241600.0,11.5,8.5,28.666666666666668,9.333333333333334,10.333333333333334,10.833333333333334,0.11666666666666668,87.33333333333333,10.0,1022.5,99.79166666666667,11.5,8.5,6.0,131.0,122.0,122.0,0.0,2.8333333333333335,3.2999999999999994,8.666666666666666
2023-01-13,24,26622878955.0,11.166666666666666,7.333333333333333,24.166666666666668,10.166666666666666,10.5,9.333333333333334,1.25,88.33333333333333,8.666666666666666,1024.6666666666667,72.83333333333333,11.166666666666666,9.666666666666666,5.333333333333333,279.5,135.5,118.5,0.0,2.6666666666666665,6.916666666666667,10.666666666666666
2023-01-14,24,27294040785.0,12.333333333333334,5.833333333333333,33.166666666666664,6.5,9.333333333333334,12.166666666666666,0.6166666666666667,90.5,8.416666666666666,1025.5,91.70833333333333,12.333333333333334,9.5,3.3333333333333335,124.5,153.0,155.0,0.0,2.1666666666666665,3.9166666666666665,6.833333333333333
2023-01-15,24,28454691371.0,11.333333333333334,5.5,26.666666666666668,6.666666666666667,8.333333333333334,6.5,3.016666666666667,89.0,8.5625,1017.0,72.77083333333333,11.333333333333334,8.333333333333334,1.8333333333333333,305.5,144.5,128.5,0.0,2.0,6.8999999999999995,8.5
